,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
0,240.0,240.0,31.0,91.0,0.341,8.0,40.0,0.2,16.0,22.0,0.727,14.0,34.0,48.0,15.0,4.0,3.0,13.0,22.0,86.0,,,0.427,0.385,0.44,0.242,27.5,72.3,49.0,48.4,4.1,5.2,11.4,100.0,88.5,108.1,,,7.0,20.0,0.5,2.0,8.0,0.333,6.0,6.0,1.0,4.0,11.0,14.0,8.0,1.0,2.0,4.0,4.0,20.0,15.4,0.0,0.538,0.5,1.0,0.417,26.5,29.3,18.0,46.4,2.9,6.4,33.3,46.9,223.0,117.0,NYK,86,0,240.0,240.0,35.0,90.0,0.389,7.0,32.0,0.219,28.0,31.0,0.903,13.0,37.0,50.0,17.0,3.0,5.0,14.0,25.0,105.0,,,0.507,0.428,0.356,0.344,27.7,72.5,51.0,48.6,3.1,9.8,11.9,100.0,107.5,88.1,,,9.0,21.0,0.5,3.0,10.0,1.0,10.0,11.0,1.0,4.0,8.0,12.0,4.0,2.0,2.0,2.0,4.0,28.0,19.6,14.0,0.651,0.625,1.0,1.333,26.0,100.0,54.4,28.4,3.3,5.3,100.0,45.7,150.0,100.0,MIA,105,1,2023,2023-05-06,False
1,240.0,240.0,35.0,90.0,0.389,7.0,32.0,0.219,28.0,31.0,0.903,13.0,37.0,50.0,17.0,3.0,5.0,14.0,25.0,105.0,,,0.507,0.428,0.356,0.344,27.7,72.5,51.0,48.6,3.1,9.8,11.9,100.0,107.5,88.1,,,9.0,21.0,0.5,3.0,10.0,1.0,10.0,11.0,1.0,4.0,8.0,12.0,4.0,2.0,2.0,2.0,4.0,28.0,19.6,14.0,0.651,0.625,1.0,1.333,26.0,100.0,54.4,28.4,3.3,5.3,100.0,45.7,150.0,100.0,MIA,105,1,240.0,240.0,31.0,91.0,0.341,8.0,40.0,0.2,16.0,22.0,0.727,14.0,34.0,48.0,15.0,4.0,3.0,13.0,22.0,86.0,,,0.427,0.385,0.44,0.242,27.5,72.3,49.0,48.4,4.1,5.2,11.4,100.0,88.5,108.1,,,7.0,20.0,0.5,2.0,8.0,0.333,6.0,6.0,1.0,4.0,11.0,14.0,8.0,1.0,2.0,4.0,4.0,20.0,15.4,0.0,0.538,0.5,1.0,0.417,26.5,29.3,18.0,46.4,2.9,6.4,33.3,46.9,223.0,117.0,NYK,86,0,2023,2023-05-06,True
2,240.0,240.0,46.0,89.0,0.517,19.0,34.0,0.559,30.0,38.0,0.789,8.0,36.0,44.0,33.0,8.0,9.0,15.0,24.0,141.0,,,0.667,0.624,0.382,0.427,19.0,65.5,45.4,71.7,7.2,13.2,12.4,100.0,127.3,122.8,,,7.0,15.0,0.833,5.0,6.0,0.833,12.0,13.0,1.0,4.0,7.0,9.0,9.0,3.0,3.0,3.0,4.0,26.0,20.9,29.0,1.25,1.25,1.0,1.0,17.8,22.0,17.4,92.0,6.6,8.6,25.8,30.4,193.0,129.0,IND,141,0,240.0,240.0,52.0,108.0,0.481,15.0,40.0,0.375,17.0,22.0,0.773,19.0,34.0,53.0,29.0,8.0,8.0,15.0,24.0,136.0,,,0.578,0.551,0.37,0.204,34.5,81.0,54.6,55.8,7.2,14.5,11.3,100.0,122.8,127.3,,,13.0,23.0,0.615,5.0,11.0,0.5,9.0,9.0,1.0,14.0,9.0,20.0,7.0,2.0,7.0,5.0,6.0,34.0,29.3,18.0,0.818,0.808,0.769,0.409,44.9,35.9,36.4,27.0,2.4,22.5,20.3,30.4,175.0,135.0,NYK,136,1,2023,2023-04-09,True
3,240.0,240.0,52.0,108.0,0.481,15.0,40.0,0.375,17.0,22.0,0.773,19.0,34.0,53.0,29.0,8.0,8.0,15.0,24.0,136.0,,,0.578,0.551,0.37,0.204,34.5,81.0,54.6,55.8,7.2,14.5,11.3,100.0,122.8,127.3,,,13.0,23.0,0.615,5.0,11.0,0.5,9.0,9.0,1.0,14.0,9.0,20.0,7.0,2.0,7.0,5.0,6.0,34.0,29.3,18.0,0.818,0.808,0.769,0.409,44.9,35.9,36.4,27.0,2.4,22.5,20.3,30.4,175.0,135.0,NYK,136,1,240.0,240.0,46.0,89.0,0.517,19.0,34.0,0.559,30.0,38.0,0.789,8.0,36.0,44.0,33.0,8.0,9.0,15.0,24.0,141.0,,,0.667,0.624,0.382,0.427,19.0,65.5,45.4,71.7,7.2,13.2,12.4,100.0,127.3,122.8,,,7.0,15.0,0.833,5.0,6.0,0.833,12.0,13.0,1.0,4.0,7.0,9.0,9.0,3.0,3.0,3.0,4.0,26.0,20.9,29.0,1.25,1.25,1.0,1.0,17.8,22.0,17.4,92.0,6.6,8.6,25.8,30.4,193.0,129.0,IND,141,0,2023,2023-04-09,False
4,265.0,265.0,45.0,95.0,0.474,13.0,36.0,0.361,23.0,26.0,0.885,13.0,32.0,45.0,31.0,7.0,8.0,13.0,18.0,126.0,,,0.592,0.542,0.379,0.274,28.9,69.6,49.5,68.9,6.9,12.9,10.9,100.0,124.5,127.4,,,9.0,22.0,1.0,6.0,14.0,1.0,9.0,10.0,1.0,3.0,8.0,9.0,12.0,2.0,5.0,5.0,4.0,24.0,21.8,4.0,1.0,1.0,0.636,2.0,24.1,26.0,23.8,45.2,3.6,11.2,40.0,32.6,171.0,138.0,IND,126,0,265.0,265.0,48.0,98.0,0.49,14.0,36.0,0.389,19.0,22.0,0.864,14.0,32.0,46.0,24.0,4.0,7.0,11.0,19.0,129.0,,,0.599,0.561,0.367,0.224,30.4,71.1,50.5,50.0,3.9,11.9,9.3,100.0,126.2,123.3,,,8.0,20.0,0.889,5.0,8.0,0.75,8.0,10.0,1.0,4.0,6.0,10.0,8.0,1.0,4.0,4.0,5.0,26.0,19.7,14.0,1.1,1.1,0.8,0.5,13.8,19.1,16.3,34.1,2.1,12.8,33.3,30.2,214.0,130.0,PHI,129,1,2023,2023-01-04,False
5,265.0,265.0,48.0,98.0,0.49,14.0,36.0,0.389,19.0,22.0,0.864,14.0,32.0,46.0,24.0,4.0,7.0,11.0,19.0,129.0,,,0.599,0.561,0.367,0.224,30.4,71.1,50.5,50.0,3.9,11.9,9.3,100.0,126.2,123.3,,,8.0,20.0,0.889,5.0,8.0,0.75,8.0,10.0,1.0,4.0,6.0,10.0,8.0,1.0,4.0,4.0,5.0,26.0,19.7,14.0,1.1,1.1,0.8,0.5,13.8,19.1,16.3,34.1,2.1,12.8,33.3,30.2,214.0,130.0,PHI,129,1,265.0,265.0,45.0,95.0,0.474,13.0,36.0,0.361,23.0,26.0,0.885,13.0,32.0,45.0,31.0,7.0,8.0,13.0,18.0,126.0,,,0.592,0.542,0.379,0.274,28.9,69.6,49.5,68.9,6.9,12.9,10.9,100.0,124.5,127.4,,,9.0,22.0,1.0,6.0,14.0,1.0,9.0,10.0,1.0,3.0,8.0,9.0,12.0,2.0,5.0,5.0,4.0,24.0,21.8,4.0,1.0,1.0,0.636,2.0,24.1,26.0,23.8,45.2,3.6,11.2,40.0,32.6,171.0,138.0,IND,126,0,2023,2023-01-04,True
6,240.0,240.0,43.0,84.0,0.512,7.0,23.0,0.304,14.0,17.0,0.824,8.0,30.0,38.0,20.0,4.0,5.0,16.0,19.0,107.0,,,0.585,0.554,0.274,0.202,19.5,65.2,43.7,46.5,4.1,7.8,14.9,100.0,110.0,128.5,,,12.0,19.0,1.0,1.0,5.0,1.0,7.0,8.0,1.0,2.0,13.0,14.0,8.0,1.0,3.0,7.0,4.0,29.0,23.9,5.0,1.5,1.5,1.0,0.8,22.6,60.8,32.1,38.3,2.6,6.2,50.0,34.4,300.0,138.0,PHO,107,0,240.0,240.0,48.0,101.0,0.475,16.0,37.0,0.432,13.0,15.0,0.867,16.0,33.0,49.0,22.0,14.0,1.0,10.0,19.0,125.0,,,0.581,0.554,0.366,0.149,34.8,80.5,56.3,45.8,14.3,1.6,8.5,100.0,127.9,109.5,,,13.0,24.0,1.0,6.0,10.0,1.0,5.0,5.0,1.0,8.0,11.0,19.0,9.0,4.0,1.0,3.0,4.0,34.0,28.8,29.0,1.5,1.5,1.0,0.5,25.3,72.8,34.3,37.8,14.2,24.5,29.1,38.4,300.0,119.0,DEN,125,1,2023,2023-04-29,False
7,240.0,240.0,48.0,101.0,0.475,16.0,37.0,0.432,13.0,15.0,0.867,16.0,33.0,49.0,22.0,14.0,1.0,10.0,19.0,125.0,,,0.581,0.554,0.366,0.149,34.8,80.5,56.3,45.8,14.3,1.6,8.5,100.0,127.9,109.5,,,13.0,24.0,1.0,6.0,10.0,1.0,5.0,5.0,1.0,8.0,11.0,19.0,9.0,4.0,1.0,3.0,4.0,34.0,28.8,29.0,1.5,1.5,1.0,0.5,25.3,72.8,34.3,37.8,14.2,24.5,29.1,38.4,300.0,119.0,DEN,125,1,240.0,240.0,43.0,84.0,0.512,7.0,23.0,0.304,14.0,17.0,0.824,8.0,30.0,38.0,20.0,4.0,5.0,16.0,19.0,107.0,,,0.585,0.554,0.274,0.202,19.5,65.2,43.7,46.5,4.1,7.8,14.9,100.0,110.0,128.5,,,12.0,19.0,1.0,1.0,5.0,1.0,7.0,8.0,1.0,2.0,13.0,14.0,8.0,1.0,3.0,7.0,4.0,29.0,23.9,5.0,1.5,1.5,1.0,0.8,22.6,60.8,32.1,38.3,2.6,6.2,50.0,34.4,300.0,138.0,PHO,107,0,2023,2023-04-29,True
8,240.0,240.0,35.0,87.0,0.402,22.0,57.0,0.386,10.0,15.0,0.667,8.0,31.0,39.0,20.0,10.0,2.0,11.0,12.0,102.0,,,0.545,0.529,0.655,0.172,15.7,63.3,39.0,57.1,10.6,3.3,10.5,100.0,108.0,114.4,,,7.0,16.0,0.7,6.0,14.0,0.75,7.0,8.0,0.875,2.0,5.0,7.0,11.0,3.0,1.0,3.0,5.0,24.0,26.6,8.0,0.888,0.85,1.0,0.8,5.9,23.6,14.5,63.3,5.0,2.5,40.0,24.3,166.0,122.0,MIL,102,0,240.0,240.0,42.0,95.0,0.442,9.0,34.0,0.265,15.0,16.0,0.938,18.0,43.0,61.0,22.0,8.0,1.0,13.0,8.0,108.0,,,0.529,0.489,0.358,0.168,36.7,84.3,61.0,52.4,8.5,3.3,11.3,100.0,115.0,108.6,,,11.0,19.0,0.588,5.0,11.0,0.455,7.0,8.0,1.0,6.0,10.0,12.0,8.0,2.0,1.0,4.0,2.0,28.0,26.2,11.0,0.764,0.735,0.714,0.615,18.1,27.6,17.3,33.0,4.9,4.7,20.1,26.3,162.0,114.0,MIA,108,1,2023,2023-01-12,False
9,240.0,240.0,42.0,95.0,0.442,9.0,34.0,0.265,15.0,16.0,0.938,18.0,43.0,61.0,22.0,8.0,1.0,13.0,8.0,108.0,,,0.529,0.489,0.358,0.168,36.7,84.3,61.0,52.4,8.5,3.3,11.3,100.0,115.0,108.6,,,11.0,19.0,0.588,5.0,11.0,0.455,7.0,8.0,1.0,6.0,10.0,12.0,8.0,2.0,1.0,4.0,2.0,28.0,26.2,11.0,0.764,0.735,0.714,0.615,18.1,27.6,17.3,33.0,4.9,4.7,20.1,26.3,162.0,114.0,MIA,108,1,240.0,240.0,35.0,87.0,0.402,22.0,57.0,0.386,10.0,15.0,0.667,8.0,31.0,39.0,20.0,10.0,2.0,11.0,12.0,102.0,,,0.545,0.529,0.655,0.172,15.7,63.3,39.0,57.1,10.6,3.3,10.5,100.0,108.0,114.4,,,7.0,16.0,0.7,6.0,14.0,0.75,7.0,8.0,0.875,2.0,5.0,7.0,11.0,3.0,1.0,3.0,5.0,24.0,26.6,8.0,0.888,0.85,1.0,0.8,5.9,23.6,14.5,63.3,5.0,2.5,40.0,24.3,166.0,122.0,MIL,102,0,2023,2023-01-12,True
